,year,month,day,case_rate,new_case_rate,countrycode
0,2020,1,21,0.000305,.,1000
1,2020,1,22,0.000305,.,1000
2,2020,1,23,0.000305,.,1000
3,2020,1,24,0.000609,.,1000
4,2020,1,25,0.0009140000000000001,.,1000
5,2020,1,26,0.0015199999999999999,.,1000
6,2020,1,27,0.0015199999999999999,.000174,1000
7,2020,1,28,0.0015199999999999999,.000174,1000
8,2020,1,29,0.0015199999999999999,.000174,1000
9,2020,1,30,0.00183,.000218,1000
10,2020,1,31,0.00213,.000218,1000
11,2020,2,1,0.00244,.000218,1000
12,2020,2,2,0.00335,.000261,1000
13,2020,2,3,0.00335,.000261,1000
14,2020,2,4,0.00335,.000261,1000
15,2020,2,5,0.00366,.000305,1000
16,2020,2,6,0.00366,.000261,1000
17,2020,2,7,0.00366,.000218,1000
18,2020,2,8,0.00366,.000174,1000
19,2020,2,9,0.00366,.0000435,1000
20,2020,2,10,0.00396,.000087,1000
21,2020,2,11,0.00396,.000087,1000
22,2020,2,12,0.00427,.000087,1000
23,2020,2,13,0.00457,.000131,1000
24,2020,2,14,0.00457,.000131,1000
25,2020,2,15,0.00457,.000131,1000
26,2020,2,16,0.00457,.000131,1000
27,2020,2,17,0.00762,.000522,1000
28,2020,2,18,0.00762,.000522,1000
29,2020,2,19,0.00762,.000479,1000
30,2020,2,20,0.00823,.000522,1000
31,2020,2,21,0.00914,.000653,1000
32,2020,2,22,0.00914,.000653,1000
33,2020,2,23,0.00914,.000653,1000
34,2020,2,24,0.0131,.000783,1000
35,2020,2,25,0.0137,.00087,1000
36,2020,2,26,0.0183,.00152,1000
37,2020,2,27,0.0183,.00144,1000
38,2020,2,28,0.0198,.00152,1000
39,2020,2,29,0.0213,.00174,1000
40,2020,3,1,0.0268,.00252,1000
41,2020,3,2,0.0317,.00265,1000
42,2020,3,3,0.0381,.00348,1000
43,2020,3,4,0.049,.0044,1000
44,2020,3,5,0.0695,.00731,1000
45,2020,3,6,0.0947,.0107,1000
46,2020,3,7,0.13,.0156,1000
47,2020,3,8,0.16699999999999998,.02,1000
48,2020,3,9,0.228,.028,1000
49,2020,3,10,0.31,.0389,1000
50,2020,3,11,0.385,.048,1000
51,2020,3,12,0.508,.0627,1000
52,2020,3,13,0.677,.0831,1000
53,2020,3,14,0.8809999999999999,.107,1000
54,2020,3,15,1.09,.132,1000
55,2020,3,16,1.37,.163,1000
56,2020,3,17,1.8,.212,1000
57,2020,3,18,2.54,.308,1000
58,2020,3,19,3.77,.466,1000
59,2020,3,20,5.48,.686,1000
60,2020,3,21,7.46,.94,1000
61,2020,3,22,10.1,1.28,1000
62,2020,3,23,13.2,1.69,1000
63,2020,3,24,16.4,2.09,1000
64,2020,3,25,20.9,2.62,1000
65,2020,3,26,26.0,3.18,1000
66,2020,3,27,31.3,3.69,1000
67,2020,3,28,37.7,4.32,1000
68,2020,3,29,43.3,4.76,1000
69,2020,3,30,49.9,5.23,1000
70,2020,3,31,57.3,5.84,1000
71,2020,4,1,65.5,6.37,1000
72,2020,4,2,74.5,6.93,1000
73,2020,4,3,84.3,7.58,1000
74,2020,4,4,95.0,8.18,1000
75,2020,4,5,103.0,8.49,1000
76,2020,4,6,112.0,8.9,1000
77,2020,4,7,121.0,9.16,1000
78,2020,4,8,131.0,9.37,1000
79,2020,4,9,142.0,9.58,1000
80,2020,4,10,152.0,9.63,1000
81,2020,4,11,161.0,9.48,1000
82,2020,4,12,170.0,9.54,1000
83,2020,4,13,177.0,9.32,1000
84,2020,4,14,186.0,9.16,1000
85,2020,4,15,195.0,9.09,1000
86,2020,4,16,204.0,8.96,1000
87,2020,4,17,214.0,8.87,1000
88,2020,4,18,222.0,8.73,1000
89,2020,4,19,230.0,8.66,1000
90,2020,4,20,238.0,8.72,1000
91,2020,4,21,246.0,8.69,1000
92,2020,4,22,255.0,8.64,1000
93,2020,4,23,265.0,8.72,1000
94,2020,4,24,276.0,8.94,1000
95,2020,4,25,287.0,9.21,1000
96,2020,4,26,295.0,9.27,1000
97,2020,4,27,302.0,9.08,1000
98,2020,4,28,310.0,9.03,1000
99,2020,4,29,318.0,8.93,1000
100,2020,4,30,327.0,8.8,1000
101,2020,5,1,337.0,8.68,1000
102,2020,5,2,346.0,8.46,1000
103,2020,5,3,354.0,8.43,1000
104,2020,5,4,361.0,8.38,1000
105,2020,5,5,368.0,8.34,1000
106,2020,5,6,375.0,8.25,1000
107,2020,5,7,384.0,8.17,1000
108,2020,5,8,392.0,7.89,1000
109,2020,5,9,400.0,7.7,1000
110,2020,5,10,406.0,7.44,1000
111,2020,5,11,412.0,7.26,1000
112,2020,5,12,418.0,7.19,1000
113,2020,5,13,425.0,7.05,1000
114,2020,5,14,433.0,6.98,1000
115,2020,5,15,441.0,6.92,1000
116,2020,5,16,448.0,6.87,1000
117,2020,5,17,454.0,6.81,1000
118,2020,5,18,460.0,6.99,1000
119,2020,5,19,467.0,6.93,1000
120,2020,5,20,474.0,7.01,1000
121,2020,5,21,482.0,6.96,1000
122,2020,5,22,489.0,6.86,1000
123,2020,5,23,496.0,6.79,1000
124,2020,5,24,502.0,6.84,1000
125,2020,5,25,508.0,6.72,1000
126,2020,5,26,513.0,6.63,1000
127,2020,5,27,519.0,6.44,1000
128,2020,5,28,526.0,6.3,1000
129,2020,5,29,533.0,6.33,1000
130,2020,5,30,540.0,6.38,1000
131,2020,5,31,547.0,6.41,1000
132,2020,6,1,553.0,6.53,1000
133,2020,6,2,560.0,6.61,1000
134,2020,6,3,566.0,6.66,1000
135,2020,6,4,572.0,6.61,1000
136,2020,6,5,581.0,6.79,1000
137,2020,6,6,587.0,6.74,1000
138,2020,6,7,593.0,6.65,1000
139,2020,6,8,599.0,6.49,1000
140,2020,6,9,604.0,6.4,1000
141,2020,6,10,611.0,6.54,1000
142,2020,6,11,618.0,6.63,1000
143,2020,6,12,626.0,6.49,1000
144,2020,6,13,634.0,6.62,1000
145,2020,6,14,640.0,6.64,1000
146,2020,6,15,646.0,6.72,1000
147,2020,6,16,653.0,6.99,1000
148,2020,6,17,661.0,7.1,1000
149,2020,6,18,670.0,7.31,1000
150,2020,6,19,679.0,7.54,1000
151,2020,6,20,689.0,7.83,1000
152,2020,6,21,697.0,8.15,1000
153,2020,6,22,706.0,8.6,1000
154,2020,6,23,717.0,9.04,1000
155,2020,6,24,728.0,9.53,1000
156,2020,6,25,740.0,10,1000
157,2020,6,26,754.0,10.7,1000
158,2020,6,27,766.0,11.1,1000
159,2020,6,28,778.0,11.7,1000
160,2020,6,29,790.0,12.1,1000
161,2020,6,30,805.0,12.6,1000
162,2020,7,1,820.0,13.2,1000
163,2020,7,2,837.0,13.9,1000
164,2020,7,3,855.0,14.4,1000
165,2020,7,4,870.0,14.8,1000
166,2020,7,5,883.0,15,1000
167,2020,7,6,898.0,15.3,1000
168,2020,7,7,914.0,15.6,1000
169,2020,7,8,932.0,16,1000
170,2020,7,9,950.0,16.2,1000
171,2020,7,10,971.0,16.6,1000
172,2020,7,11,989.0,17.1,1000
173,2020,7,12,1007.0,17.7,1000
174,2020,7,13,1026.0,18.3,1000
175,2020,7,14,1045.0,18.8,1000
176,2020,7,15,1066.0,19.2,1000
177,2020,7,16,1089.0,19.9,1000
178,2020,7,17,1111.0,20,1000
179,2020,7,18,1130.0,20,1000
180,2020,7,19,1148.0,20.2,1000
181,2020,7,20,1166.0,20.1,1000
182,2020,7,21,1186.0,20.1,1000
183,2020,7,22,1207.0,20.2,1000
184,2020,7,23,1229.0,19.9,1000
185,2020,7,24,1251.0,20,1000
186,2020,7,25,1271.0,20.2,1000
187,2020,7,26,1287.0,19.9,1000
188,2020,7,27,1305.0,19.8,1000
189,2020,7,28,1324.0,19.7,1000
190,2020,7,29,1345.0,19.6,1000
191,2020,7,30,1365.0,19.6,1000
192,2020,7,31,1386.0,19.4,1000
193,2020,8,1,1403.0,18.9,1000
194,2020,8,2,1419.0,18.8,1000
195,2020,8,3,1433.0,18.3,1000
196,2020,8,4,1449.0,17.8,1000
197,2020,8,5,1465.0,17.3,1000
198,2020,8,6,1483.0,16.8,1000
199,2020,8,7,1501.0,16.4,1000
200,2020,8,8,1518.0,16.4,1000
201,2020,8,9,1533.0,16.3,1000
202,2020,8,10,1547.0,16.2,1000
203,2020,8,11,1563.0,16.2,1000
204,2020,8,12,1579.0,16.2,1000
205,2020,8,13,1595.0,16.1,1000
206,2020,8,14,1613.0,16,1000
207,2020,8,15,1629.0,15.8,1000
208,2020,8,16,1641.0,15.5,1000
209,2020,8,17,1652.0,15.1,1000
210,2020,8,18,1665.0,14.7,1000
211,2020,8,19,1678.0,14.2,1000
212,2020,8,20,1692.0,13.8,1000
213,2020,8,21,1707.0,13.4,1000
214,2020,8,22,1720.0,13.1,1000
215,2020,8,23,1730.0,12.7,1000
216,2020,8,24,1742.0,12.8,1000
217,2020,8,25,1754.0,12.7,1000
218,2020,8,26,1768.0,12.8,1000
219,2020,8,27,1781.0,12.7,1000
220,2020,8,28,1795.0,12.6,1000
221,2020,8,29,1809.0,12.6,1000
222,2020,8,30,1819.0,12.7,1000
