,year,month,day,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70,emp_combined_inclow_advance,countrycode
0,2020,1,15,-.00311,-0.00185,-.0035,-.00346,-.00195,-.002,-.00467,-.00343,0,1000
1,2020,1,16,-.00201,-0.0011,-.00216,-.00252,-.00125,-.00112,-.00307,-.00227,0,1000
2,2020,1,17,-.0009,-0.00032900000000000003,-.000815,-.00158,-.000524,-.00024,-.00147,-.00112,0,1000
3,2020,1,18,.000241,0.000584,.000526,-.000632,.000254,.00063,.000129,.000235,0,1000
4,2020,1,19,.00138,0.0015,.00187,.000311,.00103,.0015,.00173,.00159,0,1000
5,2020,1,20,.00252,0.0024100000000000002,.00321,.00125,.00181,.00237,.00333,.00294,0,1000
6,2020,1,21,.00359,0.003,.00455,.0022,.00251,.00323,.00489,.00394,0,1000
7,2020,1,22,.00466,0.00361,.00589,.00314,.00323,.00408,.00644,.00496,0,1000
8,2020,1,23,.00435,0.00296,.00566,.00298,.00302,.00362,.00629,.00428,0,1000
9,2020,1,24,.00404,0.00231,.00542,.00283,.00281,.00315,.00613,.00363,0,1000
10,2020,1,25,.00376,0.0018,.00518,.00267,.0026,.00268,.00599,.00318,0,1000
11,2020,1,26,.00348,0.0012900000000000001,.00495,.00251,.00239,.00221,.00585,.00273,0,1000
12,2020,1,27,.00321,0.000784,.00471,.00236,.00218,.00175,.0057,.00229,0,1000
13,2020,1,28,.00288,5.550000000000001e-05,.00447,.0022,.00195,.00127,.00551,.00159,0,1000
14,2020,1,29,.00256,-0.0006259999999999999,.00424,.00204,.00172,.000794,.00534,.000957,0,1000
15,2020,1,30,.00338,-0.000181,.00507,.00319,.00206,.00143,.00628,.00211,0,1000
16,2020,1,31,.00422,0.000292,.0059,.00435,.00243,.00205,.00722,.00327,0,1000
17,2020,2,1,.00503,0.0007070000000000001,.00672,.0055,.00284,.00267,.00813,.00436,0,1000
18,2020,2,2,.00585,0.00112,.00755,.00665,.00326,.00329,.00904,.00545,0,1000
19,2020,2,3,.00667,0.0015400000000000001,.00838,.0078,.00368,.00391,.00996,.00654,0,1000
20,2020,2,4,.00751,0.00205,.00921,.00895,.00406,.00453,.0109,.00777,0,1000
21,2020,2,5,.00834,0.00253,.01,.0101,.00446,.00514,.0118,.00895,0,1000
22,2020,2,6,.00811,0.00203,.00983,.0101,.00435,.00466,.0116,.00898,0,1000
23,2020,2,7,.00787,0.00148,.00961,.01,.00422,.00419,.0114,.00897,0,1000
24,2020,2,8,.00755,0.000611,.0094,.01,.00399,.0037,.0111,.00859,0,1000
25,2020,2,9,.00724,-0.000261,.00919,.00999,.00375,.00321,.0108,.00821,0,1000
26,2020,2,10,.00692,-0.0011300000000000001,.00898,.00996,.00352,.00272,.0105,.00783,0,1000
27,2020,2,11,.00671,-0.0015400000000000001,.00876,.00993,.00342,.00225,.0103,.00791,0,1000
28,2020,2,12,.00649,-0.00202,.00855,.0099,.00329,.00178,.0101,.00795,0,1000
29,2020,2,13,.00785,-0.0007379999999999999,.00982,.0115,.00409,.00333,.0112,.0101,0,1000
30,2020,2,14,.00921,0.000503,.0111,.0132,.00485,.00487,.0123,.0123,0,1000
31,2020,2,15,.0106,0.00182,.0124,.0148,.0056,.00639,.0134,.0148,0,1000
32,2020,2,16,.012,0.00314,.0136,.0164,.00636,.00791,.0145,.0172,0,1000
33,2020,2,17,.0133,0.00445,.0149,.018,.00711,.00944,.0156,.0196,0,1000
34,2020,2,18,.0146,0.00542,.0162,.0197,.00779,.0109,.0166,.0217,0,1000
35,2020,2,19,.0159,0.00644,.0174,.0213,.00848,.0124,.0177,.0238,0,1000
36,2020,2,20,.0156,0.00605,.0173,.0207,.00825,.012,.0173,.0235,0,1000
37,2020,2,21,.0153,0.00561,.0172,.0201,.00801,.0115,.0169,.0232,0,1000
38,2020,2,22,.015,0.00506,.017,.0196,.00774,.011,.0164,.0229,0,1000
39,2020,2,23,.0146,0.00451,.0169,.019,.00748,.0105,.016,.0226,0,1000
40,2020,2,24,.0143,0.00395,.0168,.0184,.00721,.01,.0155,.0222,0,1000
