,year,month,day,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home,countrycode
0,2020,2,24,0.03,0.00571,0.11,0.02,0.0143,0.0,0.0025800000000000003,1000
1,2020,2,25,0.0357,0.00857,0.114,0.0214,0.0171,-0.00143,0.0039700000000000004,1000
2,2020,2,26,0.0429,0.0114,0.11,0.0243,0.0186,-0.00286,0.00557,1000
3,2020,2,27,0.0529,0.0157,0.121,0.03,0.0214,-0.0042899999999999995,0.00701,1000
4,2020,2,28,0.0614,0.0229,0.13,0.0357,0.0243,-0.00571,0.00839,1000
5,2020,2,29,0.0686,0.0286,0.127,0.0386,0.0243,-0.0071400000000000005,0.0109,1000
6,2020,3,1,0.0771,0.0371,0.12,0.0414,0.0257,-0.0071400000000000005,0.0109,1000
7,2020,3,2,0.0843,0.0443,0.121,0.0429,0.0257,-0.00857,0.0126,1000
8,2020,3,3,0.0943,0.0571,0.13699999999999998,0.0443,0.0257,-0.01,0.013999999999999999,1000
9,2020,3,4,0.0957,0.0629,0.154,0.0429,0.0271,-0.01,0.013999999999999999,1000
10,2020,3,5,0.0957,0.0686,0.16699999999999998,0.04,0.0286,-0.0114,0.0154,1000
11,2020,3,6,0.0914,0.0686,0.17,0.0357,0.0286,-0.0114,0.0154,1000
12,2020,3,7,0.0886,0.07,0.18100000000000002,0.0357,0.03,-0.01,0.0129,1000
13,2020,3,8,0.0843,0.0671,0.213,0.0329,0.0286,-0.01,0.0129,1000
14,2020,3,9,0.0829,0.0671,0.243,0.0286,0.0243,-0.00857,0.0112,1000
15,2020,3,10,0.0757,0.0629,0.24,0.02,0.0186,-0.00571,0.008440000000000001,1000
16,2020,3,11,0.0757,0.0686,0.253,0.0143,0.0129,-0.0042899999999999995,0.006840000000000001,1000
17,2020,3,12,0.0729,0.0914,0.25,0.00286,0.0042899999999999995,-0.00143,0.00396,1000
18,2020,3,13,0.0686,0.124,0.239,-0.0143,-0.00857,0.0042899999999999995,-0.00157,1000
19,2020,3,14,0.0457,0.139,0.201,-0.0386,-0.0171,0.01,-0.0116,1000
20,2020,3,15,0.0186,0.146,0.151,-0.0643,-0.03,0.0157,-0.0232,1000
21,2020,3,16,-0.00143,0.16699999999999998,0.106,-0.0943,-0.0586,0.0271,-0.0368,1000
22,2020,3,17,-0.0357,0.177,0.0914,-0.127,-0.0943,0.0414,-0.0507,1000
23,2020,3,18,-0.0814,0.174,0.0629,-0.16699999999999998,-0.13699999999999998,0.06,-0.0715,1000
24,2020,3,19,-0.13,0.151,0.0386,-0.21,-0.18,0.08,-0.0916,1000
