,year,month,day_endofweek,initial_claims,total_claims,initial_claims_rate,total_claims_rate,countrycode
0,2020,1,4,334431,2462517,0.205,1.51,1000
1,2020,1,11,336938,2570027,0.207,1.58,1000
2,2020,1,18,278394,2396212,0.171,1.47,1000
3,2020,1,25,225973,2283126,0.139,1.4,1000
4,2020,2,1,222510,2351722,0.136,1.44,1000
5,2020,2,8,217589,2281272,0.133,1.4,1000
6,2020,2,15,207551,2285250,0.127,1.4,1000
7,2020,2,22,197387,2237469,0.121,1.37,1000
8,2020,2,29,215272,2298677,0.132,1.41,1000
9,2020,3,7,198478,2234391,0.122,1.37,1000
10,2020,3,14,250635,2208581,0.154,1.35,1000
11,2020,3,21,2898043,4956985,1.78,3.04,1000
12,2020,3,28,5946770,9343613,3.65,5.73,1000
13,2020,4,4,6107490,14225506,3.74,8.72,1000
14,2020,4,11,4860789,17235124,2.98,10.6,1000
15,2020,4,18,4201328,20367614,2.58,12.5,1000
16,2020,4,25,3452629,21092917,2.12,12.9,1000
17,2020,5,2,2788420,24414232,1.71,15.0,1000
18,2020,5,9,2313472,23026402,1.42,14.1,1000
19,2020,5,16,2150043,24788260,1.32,15.2,1000
20,2020,5,23,1890091,20552960,1.16,12.6,1000
21,2020,5,30,1606123,20537853,0.985,12.6,1000
22,2020,6,6,1548694,19991285,0.95,12.3,1000
23,2020,6,13,1450372,19691682,0.889,12.1,1000
24,2020,6,20,1439361,18891475,0.883,11.6,1000
25,2020,6,27,1416339,18621050,0.868,11.4,1000
26,2020,7,4,1383825,17667469,0.848,10.8,1000
27,2020,7,11,1504801,18597662,0.9229999999999999,11.4,1000
28,2020,7,18,1369798,17497967,0.84,10.7,1000
29,2020,7,25,1200282,17808479,0.736,10.9,1000
30,2020,8,1,986036,16650523,0.605,10.2,1000
31,2020,8,8,832839,15843043,0.511,9.71,1000
32,2020,8,15,886332,14899594,0.5429999999999999,9.14,1000
